GA_ARTICLE#GA_CODEARTICLE#GA_LIBELLE#GA_CODEBARRE#GA_PVTTC
A1435221471734                   X#A1435221471734#Cotton Volant Dress#4063055991804#24,99
A1435221471736                   X#A1435221471736#Cotton Volant Dress#4063055991828#24,99
A1435221471738                   X#A1435221471738#Cotton Volant Dress#4063055991842#24,99
A1435221471740                   X#A1435221471740#Cotton Volant Dress#4063055991866#24,99
A1435221471742                   X#A1435221471742#Cotton Volant Dress#4063055991880#24,99
A1435221471744                   X#A1435221471744#Cotton Volant Dress#4063055991903#24,99
A1435221471746                   X#A1435221471746#Cotton Volant Dress#4063055991927#24,99
A1435232123834                   X#A1435232123834#Printed Travel Dress_Moderat#4063055992108#24,99
A1435232123836                   X#A1435232123836#Printed Travel Dress_Moderat#4063055992122#24,99
A1435232123838                   X#A1435232123838#Printed Travel Dress_Moderat#4063055992146#24,99
A1435232123840                   X#A1435232123840#Printed Travel Dress_Moderat#4063055992160#24,99
A1435232123842                   X#A1435232123842#Printed Travel Dress_Moderat#4063055992184#24,99
A1435232123844                   X#A1435232123844#Printed Travel Dress_Moderat#4063055992207#24,99
A1435232123846                   X#A1435232123846#Printed Travel Dress_Moderat#4063055992221#24,99
A1435241123834                   X#A1435241123834#Gathered sleeve Dress_moderat#4063055993235#24,99
A1435241123836                   X#A1435241123836#Gathered sleeve Dress_moderat#4063055993242#24,99
A1435241123838                   X#A1435241123838#Gathered sleeve Dress_moderat#4063055993259#24,99
A1435241123840                   X#A1435241123840#Gathered sleeve Dress_moderat#4063055993266#24,99
A1435241123842                   X#A1435241123842#Gathered sleeve Dress_moderat#4063055993273#24,99
A1435241123844                   X#A1435241123844#Gathered sleeve Dress_moderat#4063055993280#24,99
A1435241123846                   X#A1435241123846#Gathered sleeve Dress_moderat#4063055993297#24,99
A1435253123834                   X#A1435253123834#Printed Mesh Dress#4063055993464#24,99
A1435253123836                   X#A1435253123836#Printed Mesh Dress#4063055993471#24,99
A1435253123838                   X#A1435253123838#Printed Mesh Dress#4063055993488#24,99
A1435253123840                   X#A1435253123840#Printed Mesh Dress#4063055993495#24,99
A1435253123842                   X#A1435253123842#Printed Mesh Dress#4063055993501#24,99
A1435253123844                   X#A1435253123844#Printed Mesh Dress#4063055993518#24,99
A1435253123846                   X#A1435253123846#Printed Mesh Dress#4063055993525#24,99
A1435262123834                   X#A1435262123834#Midi Viscose Dress_Print#4063055993532#24,99
A1435262123836                   X#A1435262123836#Midi Viscose Dress_Print#4063055993549#24,99
A1435262123838                   X#A1435262123838#Midi Viscose Dress_Print#4063055993556#24,99
A1435262123840                   X#A1435262123840#Midi Viscose Dress_Print#4063055993563#24,99
A1435262123842                   X#A1435262123842#Midi Viscose Dress_Print#4063055993570#24,99
A1435262123844                   X#A1435262123844#Midi Viscose Dress_Print#4063055993587#24,99
A1435262123846                   X#A1435262123846#Midi Viscose Dress_Print#4063055993594#24,99
A1435273123834                   X#A1435273123834#Chiffon Tunic Dress_printed#4063055994287#24,99
A1435273123836                   X#A1435273123836#Chiffon Tunic Dress_printed#4063055994294#24,99
A1435273123838                   X#A1435273123838#Chiffon Tunic Dress_printed#4063055994300#24,99
A1435273123840                   X#A1435273123840#Chiffon Tunic Dress_printed#4063055994317#24,99
A1435273123842                   X#A1435273123842#Chiffon Tunic Dress_printed#4063055994324#24,99
A1435273123844                   X#A1435273123844#Chiffon Tunic Dress_printed#4063055994331#24,99
A1435273123846                   X#A1435273123846#Chiffon Tunic Dress_printed#4063055994348#24,99
A1435283123834                   X#A1435283123834#AOP Tunic Dress Midi#4063055994355#24,99
A1435283123836                   X#A1435283123836#AOP Tunic Dress Midi#4063055994362#24,99
A1435283123838                   X#A1435283123838#AOP Tunic Dress Midi#4063055994379#24,99
A1435283123840                   X#A1435283123840#AOP Tunic Dress Midi#4063055994386#24,99
A1435283123842                   X#A1435283123842#AOP Tunic Dress Midi#4063055994393#24,99
A1435283123844                   X#A1435283123844#AOP Tunic Dress Midi#4063055994409#24,99
A1435283123846                   X#A1435283123846#AOP Tunic Dress Midi#4063055994416#24,99
A1435293123834                   X#A1435293123834#Mat Mix Dress_Midi#4063055994423#24,99
A1435293123836                   X#A1435293123836#Mat Mix Dress_Midi#4063055994430#24,99
A1435293123838                   X#A1435293123838#Mat Mix Dress_Midi#4063055994447#24,99
A1435293123840                   X#A1435293123840#Mat Mix Dress_Midi#4063055994454#24,99
A1435293123842                   X#A1435293123842#Mat Mix Dress_Midi#4063055994461#24,99
A1435293123844                   X#A1435293123844#Mat Mix Dress_Midi#4063055994478#24,99
A1435293123846                   X#A1435293123846#Mat Mix Dress_Midi#4063055994485#24,99
A2118681497934                   X#A2118681497934#Denim-Jacket,hoody,color#4063055991590#24,99
A2118681497936                   X#A2118681497936#Denim-Jacket,hoody,color#4063055991613#24,99
A2118681497938                   X#A2118681497938#Denim-Jacket,hoody,color#4063055991637#24,99
A2118681497940                   X#A2118681497940#Denim-Jacket,hoody,color#4063055991651#24,99
A2118681497942                   X#A2118681497942#Denim-Jacket,hoody,color#4063055991675#24,99
A2118681497944                   X#A2118681497944#Denim-Jacket,hoody,color#4063055991699#24,99
A2118681497946                   X#A2118681497946#Denim-Jacket,hoody,color#4063055991712#24,99
A2118701475434                   X#A2118701475434#Blazer Travel Solid#4063055999923#24,99
A2118701475436                   X#A2118701475436#Blazer Travel Solid#4063055999930#24,99
A2118701475438                   X#A2118701475438#Blazer Travel Solid#4063055999947#24,99
A2118701475440                   X#A2118701475440#Blazer Travel Solid#4063055999954#24,99
A2118701475442                   X#A2118701475442#Blazer Travel Solid#4063055999961#24,99
A2118701475444                   X#A2118701475444#Blazer Travel Solid#4063055999978#24,99
A2118701475446                   X#A2118701475446#Blazer Travel Solid#4063055999985#24,99
A2118731123834                   X#A2118731123834#soft short zip jacket#4063056000116#24,99
A2118731123836                   X#A2118731123836#soft short zip jacket#4063056000123#24,99
A2118731123838                   X#A2118731123838#soft short zip jacket#4063056000130#24,99
A2118731123840                   X#A2118731123840#soft short zip jacket#4063056000147#24,99
A2118731123842                   X#A2118731123842#soft short zip jacket#4063056000154#24,99
A2118731123844                   X#A2118731123844#soft short zip jacket#4063056000161#24,99
A2118731123846                   X#A2118731123846#soft short zip jacket#4063056000178#24,99
A2118731469434                   X#A2118731469434#soft short zip jacket#4063056000284#24,99
A2118731469436                   X#A2118731469436#soft short zip jacket#4063056000291#24,99
A2118731469438                   X#A2118731469438#soft short zip jacket#4063056000307#24,99
A2118731469440                   X#A2118731469440#soft short zip jacket#4063056000314#24,99
A2118731469442                   X#A2118731469442#soft short zip jacket#4063056000321#24,99
A2118731469444                   X#A2118731469444#soft short zip jacket#4063056000338#24,99
A2118731469446                   X#A2118731469446#soft short zip jacket#4063056000345#24,99
A2118771471734                   X#A2118771471734#Style Hanni Blazer Twill#4063056044264#24,99
A2118771471736                   X#A2118771471736#Style Hanni Blazer Twill#4063056044271#24,99
A2118771471738                   X#A2118771471738#Style Hanni Blazer Twill#4063056044288#24,99
A2118771471740                   X#A2118771471740#Style Hanni Blazer Twill#4063056044295#24,99
A2118771471742                   X#A2118771471742#Style Hanni Blazer Twill#4063056044301#24,99
A2118771471744                   X#A2118771471744#Style Hanni Blazer Twill#4063056044318#24,99
A2118771471746                   X#A2118771471746#Style Hanni Blazer Twill#4063056044325#24,99
A2535911471734                   X#A2535911471734#kimono structure cardigan#4063055899582#24,99
A2535911471736                   X#A2535911471736#kimono structure cardigan#4063055899605#24,99
A2535911471738                   X#A2535911471738#kimono structure cardigan#4063055899629#24,99
A2535911471740                   X#A2535911471740#kimono structure cardigan#4063055899643#24,99
A2535911471742                   X#A2535911471742#kimono structure cardigan#4063055899667#24,99
A2535911471744                   X#A2535911471744#kimono structure cardigan#4063055899681#24,99
A2535911471746                   X#A2535911471746#kimono structure cardigan#4063055899704#24,99
A2535911472334                   X#A2535911472334#kimono structure cardigan#4063055984349#24,99
A2535911472336                   X#A2535911472336#kimono structure cardigan#4063055984356#24,99
A2535911472338                   X#A2535911472338#kimono structure cardigan#4063055984363#24,99
A2535911472340                   X#A2535911472340#kimono structure cardigan#4063055984370#24,99
A2535911472342                   X#A2535911472342#kimono structure cardigan#4063055984387#24,99
A2535911472344                   X#A2535911472344#kimono structure cardigan#4063055984394#24,99
A2535911472346                   X#A2535911472346#kimono structure cardigan#4063055984400#24,99
A3023261471734                   X#A3023261471734#sleeveless sweater#4063055984516#24,99
A3023261471736                   X#A3023261471736#sleeveless sweater#4063055984547#24,99
A3023261471738                   X#A3023261471738#sleeveless sweater#4063055984578#24,99
A3023261471740                   X#A3023261471740#sleeveless sweater#4063055984608#24,99
A3023261471742                   X#A3023261471742#sleeveless sweater#4063055984639#24,99
A3023261471744                   X#A3023261471744#sleeveless sweater#4063055984660#24,99
A3023261471746                   X#A3023261471746#sleeveless sweater#4063055984691#24,99
A3023261472134                   X#A3023261472134#sleeveless sweater#4063055984523#24,99
A3023261472136                   X#A3023261472136#sleeveless sweater#4063055984554#24,99
A3023261472138                   X#A3023261472138#sleeveless sweater#4063055984585#24,99
A3023261472140                   X#A3023261472140#sleeveless sweater#4063055984615#24,99
A3023261472142                   X#A3023261472142#sleeveless sweater#4063055984646#24,99
A3023261472144                   X#A3023261472144#sleeveless sweater#4063055984677#24,99
A3023261472146                   X#A3023261472146#sleeveless sweater#4063055984707#24,99
A3023261472334                   X#A3023261472334#sleeveless sweater#4063055984530#24,99
A3023261472336                   X#A3023261472336#sleeveless sweater#4063055984561#24,99
A3023261472338                   X#A3023261472338#sleeveless sweater#4063055984592#24,99
A3023261472340                   X#A3023261472340#sleeveless sweater#4063055984622#24,99
A3023261472342                   X#A3023261472342#sleeveless sweater#4063055984653#24,99
A3023261472344                   X#A3023261472344#sleeveless sweater#4063055984684#24,99
A3023261472346                   X#A3023261472346#sleeveless sweater#4063055984714#24,99
A3023281123834                   X#A3023281123834#sweat slipover#4063056000451#24,99
A3023281123836                   X#A3023281123836#sweat slipover#4063056000468#24,99
A3023281123838                   X#A3023281123838#sweat slipover#4063056000475#24,99
A3023281123840                   X#A3023281123840#sweat slipover#4063056000482#24,99
A3023281123842                   X#A3023281123842#sweat slipover#4063056000499#24,99
A3023281123844                   X#A3023281123844#sweat slipover#4063056000505#24,99
A3023281123846                   X#A3023281123846#sweat slipover#4063056000512#24,99
A3023281469434                   X#A3023281469434#sweat slipover#4063056000628#24,99
A3023281469436                   X#A3023281469436#sweat slipover#4063056000635#24,99
A3023281469438                   X#A3023281469438#sweat slipover#4063056000642#24,99
A3023281469440                   X#A3023281469440#sweat slipover#4063056000659#24,99
A3023281469442                   X#A3023281469442#sweat slipover#4063056000666#24,99
A3023281469444                   X#A3023281469444#sweat slipover#4063056000673#24,99
A3023281469446                   X#A3023281469446#sweat slipover#4063056000680#24,99
A3176591471734                   X#A3176591471734#Style Pania#4063056001137#24,99
A3176591471736                   X#A3176591471736#Style Pania#4063056001144#24,99
A3176591471738                   X#A3176591471738#Style Pania#4063056001151#24,99
A3176591471740                   X#A3176591471740#Style Pania#4063056001168#24,99
A3176591471742                   X#A3176591471742#Style Pania#4063056001175#24,99
A3176591471744                   X#A3176591471744#Style Pania#4063056001182#24,99
A3176591471746                   X#A3176591471746#Style Pania#4063056001199#24,99
A3176591471834                   X#A3176591471834#Style Pania#4063056001304#24,99
A3176591471836                   X#A3176591471836#Style Pania#4063056001311#24,99
A3176591471838                   X#A3176591471838#Style Pania#4063056001328#24,99
A3176591471840                   X#A3176591471840#Style Pania#4063056001335#24,99
A3176591471842                   X#A3176591471842#Style Pania#4063056001342#24,99
A3176591471844                   X#A3176591471844#Style Pania#4063056001359#24,99
A3176591471846                   X#A3176591471846#Style Pania#4063056001366#24,99
A3193861010834                   X#A3193861010834#top w. lace tape#4063055976870#24,99
A3193861010836                   X#A3193861010836#top w. lace tape#4063055976894#24,99
A3193861010838                   X#A3193861010838#top w. lace tape#4063055976917#24,99
A3193861010840                   X#A3193861010840#top w. lace tape#4063055976931#24,99
A3193861010842                   X#A3193861010842#top w. lace tape#4063055976955#24,99
A3193861010844                   X#A3193861010844#top w. lace tape#4063055976979#24,99
A3193861010846                   X#A3193861010846#top w. lace tape#4063055976993#24,99
A3193861123834                   X#A3193861123834#top w. lace tape#4063055991002#24,99
A3193861123836                   X#A3193861123836#top w. lace tape#4063055991026#24,99
